"","Cluster 1","Cluster 2","Cluster 3","Cluster 4","Cluster 5","Cluster 6","Cluster 7","Cluster 8","Cluster 9","Cluster 10","Cluster 11","Cluster 12","Cluster 13","Cluster 14","Cluster 15","Cluster 16","Cluster 17","Cluster 18","Cluster 19","Cluster 20","Cluster 21","Cluster 22","Cluster 23","Cluster 24","Cluster 25","Cluster 26","Cluster 27","Cluster 28","Cluster 29"
"Embryos0002",0.22980003205026,0.0143691140615817,0.027380523460606,0.07494134009833,12.4453341199408,0.048033179483869,2.32258279481386,5.23495648714362,0.0991369964732517,0.40937204746545,1.06944357930039,1.52997825251284,1.65605606925066,0.0370454912046686,0.553829418931384,0.388857331527468,0.0219454959117083,0.973749451747991,0.999081235218937,0.689317906908955,0.510540735700079,0.638759549576511,0.939214448576795,1.39441396703113,2.97176965405051,0.288768928620989,0.902358640147875,0.764982001929019,1.82193802585714
"Embryos0204",2.93508633186578,0.0107066159629904,0.0272698647243965,0.0795830829397716,1.08727211063389,0.0226492304546945,1.09801641023396,1.78448762887643,0.0648982959691228,0.376696137739276,0.357989355449695,2.0329531965955,13.4768108943521,0.0283091802205588,0.251219608106887,1.0964165809211,0.0273735319596574,1.3876754997192,1.40396460619454,1.02997266354723,0.333002970256767,0.353103923285007,0.875126771499221,2.12064198680949,1.73744020808148,0.397976830544833,0.959890580701535,1.15552119290352,1.98664486598606
"Embryos0406",4.49023177044957,0.00792824377277624,0.0299714901751469,0.0934662302972891,0.290213894115144,0.0242469790445441,0.667840620816564,0.956575259554923,0.0697531658158617,0.579315772817837,0.219552243594074,2.65704058045412,0.71790969218599,0.0198494723137001,0.237686008010549,2.13685201419905,0.0285668117985323,1.68173231697607,1.468743190282,1.05045462548083,0.320532646187446,0.293576996273776,1.03359116986007,2.01086791667876,1.53882316834934,0.689672413482116,0.849014761131725,1.18631181931985,1.22895003366211
"Embryos0608",2.01878380846866,0.00955112084012514,0.0663121380128572,0.332255321016416,0.150302995981355,0.0296797190522908,0.778760981807666,0.754650774478438,0.159205539405455,1.22811876138527,0.239154729392814,1.82481760922757,0.318381520634097,0.0268194870201443,0.530606739673358,2.1932273051206,0.0464024513339117,1.53401295791056,1.23597054201661,1.02987305027274,0.535962729535213,0.360488079552851,1.31319219789422,1.45128500638514,1.32807966850877,1.08672281665005,0.71233265058919,1.02954326966003,1.09656789087278
"Embryos0810",0.877040830679199,0.0215035668731525,0.10345122210515,0.564368920219752,0.17264097141613,0.0380842191638273,0.843404119834232,0.678946311989071,0.231959878151722,1.58014075394146,0.287008817991558,1.14789837987212,0.299429118936584,0.055625424383361,0.746486808466462,1.61148718999757,0.0704712677499932,1.25521650033222,1.06349517889636,1.01810973234638,0.711319989341017,0.397044494071745,1.28172096589947,1.10050276319647,1.0451318723462,1.11513966608062,0.674258049862062,1.04447987656397,1.01091509387946
"Embryos1012",0.298302328705004,0.0305174574440323,0.27016552599842,1.80976318257931,0.121663715152635,0.0538923903819446,0.952328119912172,0.598871324556666,0.730990084745647,2.1140475318882,0.419060768725702,0.645387411959779,0.168660872649199,0.0861569186194598,1.35510281372474,1.09423226622856,0.146701484500594,1.09423021003184,0.88242116450263,1.21819047373845,1.08737483763525,0.607705563644127,1.38647519036682,0.759945654364642,0.796663860279303,1.09946438824486,0.754361878457826,1.05133449937858,0.786195387602757
"Embryos1214",0.187176173759719,0.0415385989207478,1.12933650821377,3.17756441072334,0.125888455412974,0.0697927027554929,0.962505292771165,0.597784093656553,1.09492173712738,1.78114112267717,0.488729259865805,0.516721162179697,0.163696370005486,0.186076550909448,1.43916245517938,0.935171009990483,0.329527045403105,0.915336867222491,0.898181240967809,0.849173283824253,1.21280597321412,0.776284170421324,1.27056829636352,0.705342666951918,0.695768863352844,1.49238917511129,0.751164194408588,1.10448383292345,0.829826064071625
"Embryos1416",0.133189138920212,0.358421910491712,6.51840005315433,2.11139397197649,0.184174961424351,0.204110933152513,1.08587144529219,0.586111683447283,2.8219153120076,0.9577057019205,0.775084138316585,0.431286392220921,0.181530683459072,2.25559516289567,1.73008551975011,0.57698048006473,1.19960011693042,0.789383782316096,0.940563093109514,1.08205388895762,1.04009029703956,1.35570610212688,0.996250747946199,0.660395985765035,0.64642134363772,1.5935518271873,0.984057536670864,0.689088846219338,0.850574700435507
"Embryos1618",0.11023412923746,2.71718106117013,2.34197325784786,0.815630879228742,0.13708303966677,0.707876023447931,0.991675336261524,0.540379025145237,2.94193945576823,0.591551665687249,1.15135229403816,0.345361939685235,0.133661940358127,6.25321852272356,1.48216453786875,0.392417262016771,2.33429283072838,0.607675255451257,0.841427389308645,0.977973193186403,1.11146532155909,1.69242727771514,0.771158281361789,0.53398040194349,0.509966130924905,1.19247250462539,1.1815246771164,0.820958368287143,0.738469607980188
"Embryos1820",0.107360308260262,6.88391900833217,0.292557104274832,0.348239519795516,0.18778472476787,2.58223776030009,0.903816000273917,0.517792296993932,1.89999476695789,0.466333033234326,1.97883708144601,0.242644805040519,0.115380001164407,2.7031849920508,1.27611699220478,0.329328939964881,3.46363466547408,0.491873285092129,0.768206472888073,1.07227125619392,1.33840857855255,2.19415726517843,0.608834071238454,0.375589720320382,0.424075412498991,0.940604995402725,1.46405735604336,0.805452868441431,0.575011987735934
"Embryos2022",0.0720954535571811,1.47470162851957,0.0712296522635034,0.195810324134516,0.181489215551045,5.11187856135712,0.926418676679208,0.600214108259835,0.693319542234219,0.371507729186124,3.05876810417436,0.351213928589249,0.164463717062327,0.240247075199268,0.938176303008463,0.256410404801406,2.66246390611789,0.533748256564388,0.746441094446993,1.04259151067742,1.8021841536612,1.89531891184956,0.513312704811768,0.591352814167844,0.434153890295794,0.669412047762961,1.59449860487559,1.06345365304538,0.865816034438839
"Embryos2224",0.098311015461428,1.42170913003618,0.0787378260948336,0.268808843126209,0.194233467196091,5.13768856714895,0.918075547360746,0.606086865506756,0.719960873813042,0.409503305502252,3.16676093888505,0.328984546254727,0.197256676597393,0.266026563722506,0.931514298845674,0.270861212563353,2.64657459053733,0.504719828397651,0.729187786110812,0.924318473731488,1.98933461461878,1.89007101911872,0.524827361960771,0.534702833141998,0.437089106889744,0.689497875789962,1.60034385207339,1.17482820596938,0.800344576222681
